trace_id,trace_ko,trace_category,definition,field_use,tags
necrotic_scraped_stone,사령 반응을 보이는 석벽 긁힘,물리 흔적,사령 반응을 보이는 상태의 석벽 표면을 반복적으로 긁은 흔적,등반·영역 표시 추정,physical;scratch;necrotic
necrotic_broken_bone,사령 반응을 보이는 골편,사체 흔적,사령 반응을 보이는 상태의 부러진 뼈 조각이 흩어진 흔적,포식 또는 언데드 추정,corpse;bone;necrotic
necrotic_skin_flake,사령 반응을 보이는 피부 조각,생체 흔적,사령 반응을 보이는 상태의 벗겨진 피부나 외피 조각,변이·탈피 추정,bio;skin;necrotic
necrotic_scale_shed,사령 반응을 보이는 떨어진 비늘,생체 흔적,사령 반응을 보이는 상태의 탈락한 비늘이나 갑각 조각,파충류·드래곤·괴수 추정,bio;scale;necrotic
necrotic_feather_scatter,사령 반응을 보이는 흩어진 깃털,생체 흔적,사령 반응을 보이는 상태의 날개 달린 개체가 남긴 깃털,비행 개체 추정,bio;feather;necrotic
necrotic_hair_clump,사령 반응을 보이는 털 뭉치,생체 흔적,사령 반응을 보이는 상태의 마찰 지점에 남은 털 뭉치,짐승형 개체 추정,bio;fur;necrotic
necrotic_mucus_patch,사령 반응을 보이는 점액 얼룩,생체 흔적,사령 반응을 보이는 상태의 표면에 눌어붙은 점액성 흔적,점액체·기생·양서류 추정,bio;slime;necrotic
necrotic_soil_discoloration,사령 반응을 보이는 토양 변색,환경 흔적,사령 반응을 보이는 상태의 토양 색이 비정상적으로 변한 흔적,독성·오염·원소 반응 추정,environment;soil;necrotic
necrotic_withered_plant,사령 반응을 보이는 말라죽은 식생,환경 흔적,사령 반응을 보이는 상태의 식물이 갑자기 시들거나 말라죽은 흔적,사령·독성·잔향 추정,environment;plant;necrotic
necrotic_glass_shard,사령 반응을 보이는 유리화 파편,환경 흔적,사령 반응을 보이는 상태의 강한 열기나 마법 반응으로 유리화된 파편,화염·역장·번개 추정,environment;magic;necrotic
necrotic_ash_pile,사령 반응을 보이는 재 더미,환경 흔적,사령 반응을 보이는 상태의 불타거나 정화된 뒤 남은 재,화염·광휘 추정,environment;ash;necrotic
necrotic_ice_crack,사령 반응을 보이는 얼음 균열,환경 흔적,사령 반응을 보이는 상태의 냉기 반응으로 갈라진 얼음 자국,냉기성 위협 추정,environment;cold;necrotic
necrotic_metal_bend,사령 반응을 보이는 휘어진 금속,물리 흔적,사령 반응을 보이는 상태의 강한 힘이나 열로 금속이 휘어진 흔적,거대·화염·구조체 추정,physical;metal;necrotic
necrotic_mind_graffiti,사령 반응을 보이는 반복 문구,마법·오염 흔적,사령 반응을 보이는 상태의 목격자가 무의식적으로 남긴 같은 문구,정신·공포 영향 추정,magic;psychic;necrotic
psychic_nosebleed,목격자의 코피 흔적,마법·오염 흔적,정신 압박 뒤 남은 생리 반응,정신 영향 판정,aberration;psychic
warped_footprints,뒤틀린 발자국,물리 흔적,해부학적으로 맞지 않는 방향의 발자국,비정상 신체 구조 추정,aberration;physical
floating_dust_ring,부유 먼지 고리,환경 흔적,공중에 떠 있던 개체 주변에 남은 먼지 고리,부유·염동력 추정,aberration;float
animal_tracks,짐승 발자국,물리 흔적,자연 짐승형 발자국,야수 식별,beast;track
gnawed_bones,갉아먹은 뼈,사체 흔적,동물성 이빨로 갉아먹은 뼈,식성 파악,beast;bone
fur_on_bark,나무껍질의 털,생체 흔적,몸을 비비며 남긴 털,영역 표시,beast;fur
silver_light_residue,은빛 광흔,마법·오염 흔적,은빛 빛이 스치고 남은 흔적,천상체 판정,celestial;radiant
purified_ground,정화된 토양,환경 흔적,오염이 밀려난 듯한 깨끗한 지면,정화 반응 판정,celestial;purify
regular_step_marks,규칙적 보행 흔적,물리 흔적,간격이 기계적으로 일정한 발자국,구조체 판정,construct;walk
arcane_circuit_imprint,마법 회로 자국,마법·오염 흔적,바닥에 찍힌 회로형 문양,구조체·마법장치 판정,construct;magic
large_claw_gouge,거대한 발톱 골,물리 흔적,바위와 금속에 남은 거대한 발톱 골,드래곤·대형 괴수 판정,dragon;claw
breath_scorch_line,브레스 소실선,환경 흔적,직선 또는 원뿔형으로 남은 브레스 흔적,브레스 방향 추정,dragon;breath
elemental_distortion,원소 왜곡 흔적,환경 흔적,온도·습도·지면 상태가 한 지점에서 급격히 바뀐 흔적,원소체 판정,elemental
floating_motes,떠다니는 원소 입자,마법·오염 흔적,공중에 남은 원소성 입자,원소 잔류 추정,elemental;magic
impossible_flower_ring,불가능한 꽃고리,마법·오염 흔적,계절과 맞지 않는 꽃이 원형으로 핀 흔적,요정계 반응 판정,fey;flower
lost_path_marks,길잃음 표식,행동 흔적,같은 길이 반복된 것처럼 남은 표식,요정성 미로 판정,fey;maze
sulfur_smell,유황 냄새,마법·오염 흔적,공기 중에 남은 유황성 악취,악마체 판정,fiend;sulfur
burnt_contract_scraps,탄 계약서 조각,장비·부산물,계약문처럼 보이는 탄 종잇조각,마귀·계약성 판정,fiend;contract
huge_footprint,거대한 발자국,물리 흔적,사람보다 훨씬 큰 발자국,거인·거대 개체 판정,giant;foot
thrown_boulder_impact,투척 바위 충돌흔,물리 흔적,큰 바위가 날아와 충돌한 흔적,투척형 거인 판정,giant;throw
campfire_remains,야영 흔적,행동 흔적,불씨와 식사 흔적이 남은 야영지,지능형 인간형 판정,humanoid;camp
tool_marks,도구 사용 흔적,물리 흔적,칼·삽·망치 등 도구로 남긴 흔적,도구 사용 판정,humanoid;tool
mixed_track_pattern,뒤섞인 발자국,물리 흔적,서로 다른 동물 특징이 섞인 발자국,키메라형 판정,monstrosity;hybrid
mangled_carcass,망가진 사체,사체 흔적,비정상적인 방식으로 찢기고 눌린 사체,괴수 포식 판정,monstrosity;predator
dissolved_gear,녹아내린 장비,환경 흔적,금속·가죽 장비가 반쯤 녹은 흔적,점액체·산성 판정,ooze;acid
slime_puddle,움직인 점액 웅덩이,생체 흔적,방금 움직인 듯한 점액 웅덩이,점액체 이동 판정,ooze;slime
root_cracks,뿌리 균열,환경 흔적,뿌리가 바닥과 벽을 갈라놓은 흔적,식물체 판정,plant;root
pollen_residue,꽃가루 잔류,생체 흔적,공기와 장비 표면에 묻은 꽃가루,식물·환각 위험 판정,plant;pollen
grave_soil,무덤 흙,환경 흔적,습기와 부패 냄새가 섞인 흙,언데드·왕묘 판정,undead;grave
cold_spot,비정상 냉점,마법·오염 흔적,주변보다 현저히 차가운 구역,영체·사령 반응 판정,undead;cold
