subtype_id,major_type_en,major_type_ko,subtype_ko,subtype_en,classification_axis,definition,example_keywords,notes
humanoid_002,Humanoid,인간형,군사 조직형 인간형,Militarized Humanoid,사회성,계급·전열·명령 체계를 갖춘 인간형,Hobgoblin,분쟁/공고 경계
humanoid_003,Humanoid,인간형,약탈자형 인간형,Raider Humanoid,행동,약탈과 습격을 주된 행동으로 삼는 인간형,Bandit; Orc,용병/범죄와 구분
humanoid_004,Humanoid,인간형,암살자형 인간형,Assassin Humanoid,전투 방식,은신·독·기습으로 목표를 제거하는 인간형,Assassin,연맹 공고 여부 주의
humanoid_005,Humanoid,인간형,주술사형 인간형,Shamanic Humanoid,역할,영혼·자연·부족 의식을 다루는 인간형,Orc Shaman motif,오염 여부 기록
humanoid_006,Humanoid,인간형,사제형 인간형,Priestly Humanoid,역할,신앙과 의식을 수행하는 인간형,Cult priest,공포 의회 가능
humanoid_007,Humanoid,인간형,마법사형 인간형,Mage Humanoid,역할,주문과 연구를 전투 수단으로 쓰는 인간형,Mage; Apprentice Wizard,금기 지식 연계
humanoid_008,Humanoid,인간형,광신도형 인간형,Fanatic Humanoid,정신 상태,신앙·계시·공포에 의해 극단화된 인간형,Cultist; Fanatic,교단 공고
humanoid_009,Humanoid,인간형,귀족·지휘관형 인간형,Noble/Commander Humanoid,사회성,권력과 지휘권을 지닌 인간형,Noble; Warlord,중립 원칙 주의
humanoid_010,Humanoid,인간형,도적·밀수꾼형 인간형,Rogue/Smuggler Humanoid,행동,은밀 이동·불법 거래·위험물 유통에 관여하는 인간형,Bandit; Spy,위험물 있으면 공고
humanoid_011,Humanoid,인간형,고블린계 인간형,Goblinoid Humanoid,혈통/문화,고블린·홉고블린·버그베어 계열 인간형,Goblin; Hobgoblin; Bugbear,군사/동굴 공고
humanoid_012,Humanoid,인간형,오크계 인간형,Orcish Humanoid,혈통/문화,오크 또는 유사 전투 문화권 인간형,Orc,부족/전쟁화 주의
humanoid_013,Humanoid,인간형,코볼드계 인간형,Kobold Humanoid,혈통/문화,함정·굴·용 숭배와 결합하기 쉬운 소형 인간형,Kobold,Dragon 연계
humanoid_014,Humanoid,인간형,리자드계 인간형,Reptilian Humanoid,혈통/문화,파충류적 생리와 습지 문화를 지닌 인간형,Lizardfolk,문화적 오해 주의
humanoid_015,Humanoid,인간형,지하 거주 인간형,Subterranean Humanoid,서식,동굴·지하·언더다크에 적응한 인간형,Drow; Duergar,던전과 구분
humanoid_016,Humanoid,인간형,수중 거주 인간형,Aquatic Humanoid,서식,수중·해안·습지 사회를 이루는 인간형,Merfolk; Sahuagin,수로 공고
humanoid_017,Humanoid,인간형,야생화 인간형,Feral Humanoid,상태,사회적 언어·규범이 붕괴하거나 야생화된 인간형,Feral cultists,침식 여부 확인
humanoid_018,Humanoid,인간형,변이된 인간형,Mutated Humanoid,상태,마법·잔향·실험으로 신체가 변형된 인간형,Mutant humanoid,비살상 여부 판단
humanoid_019,Humanoid,인간형,포섭 피해자형 인간형,Indoctrinated Humanoid,상태,세뇌·협박·잔향 노출로 조종당하는 인간형,Cult victim,구조 우선 가능
humanoid_020,Humanoid,인간형,잔향 침식 인간형,Resonance-Infected Humanoid,상태,잔향 단계 증상을 보이는 인간형,Infected villager,잔향 관찰 공고
humanoid_021,Humanoid,인간형,의식 매개 인간형,Ritual Medium Humanoid,역할,의식의 제물·매개·그릇으로 쓰이는 인간형,Cult victim,구조/봉인
humanoid_022,Humanoid,인간형,변장 침투자형 인간형,Disguised Infiltrator Humanoid,행동,정체를 숨기고 조직 내부에 침투한 인간형,Doppelganger if Humanoid-like; Spy,침투자 식별
monstrosity_001,Monstrosity,괴수,키메라형 괴수,Chimeric Monstrosity,형태,여러 생물의 형질이 뒤섞인 괴수,Chimera,형태 기록 중요
monstrosity_002,Monstrosity,괴수,다두형 괴수,Multi-Headed Monstrosity,형태,여러 머리와 독립 감각으로 위협하는 괴수,Hydra,재생/동시공격
monstrosity_003,Monstrosity,괴수,시선 괴수,Gaze Monstrosity,공격 전달,시선·눈빛으로 상태 이상이나 피해를 주는 괴수,Basilisk; Medusa,Aberration과 구분
monstrosity_004,Monstrosity,괴수,포식 괴수,Predatory Monstrosity,생태,자연 야수를 넘어선 포식 능력을 지닌 괴수,Owlbear,생활권 피해
monstrosity_005,Monstrosity,괴수,매복 괴수,Ambush Monstrosity,행동,위장·은신·함정성 지형에서 급습하는 괴수,Mimic if monstrosity?; Roper,던전 적합
monstrosity_006,Monstrosity,괴수,장갑 괴수,Armored Monstrosity,형태,갑각·비늘·외골격 방어가 강한 괴수,Bulette,전열 돌파
monstrosity_007,Monstrosity,괴수,독성 괴수,Venomous Monstrosity,피해 성질,독침·독니·독액으로 위협하는 괴수,Manticore; Wyvern if not Dragon,해독 시료
monstrosity_008,Monstrosity,괴수,돌진 괴수,Charging Monstrosity,공격 전달,돌진과 충돌로 구조물을 파괴하는 괴수,Bulette; Gorgon,지형 피해
monstrosity_009,Monstrosity,괴수,비행 괴수,Flying Monstrosity,이동,날개와 공중기동으로 사냥하는 괴수,Manticore; Griffon,상공 대응
monstrosity_010,Monstrosity,괴수,수중 괴수,Aquatic Monstrosity,서식,물속에서 거대한 위협을 가하는 괴수,Kraken-like; Sea monster,해상 원정
monstrosity_011,Monstrosity,괴수,굴파기 괴수,Burrowing Monstrosity,이동,지면 아래에서 이동·매복하는 괴수,Bulette; Purple Worm,진동 감지
monstrosity_012,Monstrosity,괴수,괴조형 괴수,Avian Monstrosity,형태,새와 괴수 형질이 결합한 비행형 괴수,Griffon; Roc,거대 둥지
monstrosity_013,Monstrosity,괴수,괴충형 괴수,Insectoid Monstrosity,형태,곤충 형질이 과장된 괴수,Ankheg,산성/굴파기
monstrosity_014,Monstrosity,괴수,괴어형 괴수,Piscine Monstrosity,형태,어류나 수생 생물이 괴수화된 유형,Merrow?; Giant fish motif,수중 피해
monstrosity_015,Monstrosity,괴수,사자·고양잇과 괴수,Feline Monstrosity,형태,고양잇과 포식자 형질이 괴수화된 유형,Displacer Beast,매복/환영
monstrosity_016,Monstrosity,괴수,뱀·파충류 괴수,Serpentine/Reptilian Monstrosity,형태,뱀·도마뱀·파충류 형질이 괴수화된 유형,Basilisk; Hydra,독/시선
monstrosity_017,Monstrosity,괴수,반인반수형 괴수,Hybrid Humanoid Monstrosity,형태,인간형과 짐승형이 결합한 괴수,Centaur if Monstrosity; Lamia,Humanoid와 구분
monstrosity_018,Monstrosity,괴수,마법 실험체형 괴수,Arcane Experiment Monstrosity,기원,마법 실험·정제 실패·개조로 탄생한 괴수,Owlbear origin motif,연구소 공고
monstrosity_019,Monstrosity,괴수,고대 잔존종형 괴수,Ancient Relict Monstrosity,기원,고대 생태나 멸종종의 잔존 괴수,Roc; Purple Worm,유적/원시지
monstrosity_020,Monstrosity,괴수,공포 전설형 괴수,Folkloric Terror Monstrosity,상징,민담·전설·공포담의 형상으로 분류되는 괴수,Basilisk; Manticore,괴담 검증
monstrosity_021,Monstrosity,괴수,구조물 기생 괴수,Structure-Parasitic Monstrosity,생태,건물·던전·폐허 구조 안에 숨어 먹이를 노리는 괴수,Mimic; Roper,던전 내부
monstrosity_022,Monstrosity,괴수,던전 적응 괴수,Dungeon-Adapted Monstrosity,상태,던전 환경에 적응하거나 던전 생태 일부가 된 괴수,Roper; Mimic,던전 사냥
monstrosity_023,Monstrosity,괴수,공간 왜곡 괴수,Space-Warping Monstrosity,능력,거리·위치·형상을 어긋나게 하는 괴수,Displacer Beast,감각 기록 중요
monstrosity_024,Monstrosity,괴수,거대 포식충형 괴수,Giant Burrowing Worm Monstrosity,형태,거대한 벌레·충체형 포식 괴수,Purple Worm,레이드 가능
ooze_001,Ooze,점액체,산성 점액체,Acidic Ooze,피해 성질,강한 산으로 유기물과 장비를 녹이는 점액체,Black Pudding; Ochre Jelly,장비 손상
ooze_002,Ooze,점액체,포식 점액체,Predatory Ooze,생태,천천히 접근해 먹이를 흡수하는 점액체,Gelatinous Cube,감지 어려움
ooze_003,Ooze,점액체,분열 점액체,Splitting Ooze,능력,피해나 조건에 따라 둘 이상으로 나뉘는 점액체,Ochre Jelly,참격/전격 주의
ooze_004,Ooze,점액체,위장 점액체,Camouflaged Ooze,행동,바닥·벽·물웅덩이처럼 위장하는 점액체,Gray Ooze,관찰 기록 중요
ooze_005,Ooze,점액체,투명 점액체,Transparent Ooze,형태,투명하거나 반투명해 발견이 어려운 점액체,Gelatinous Cube,탐지 방식 필요
ooze_006,Ooze,점액체,독성 점액체,Toxic Ooze,피해 성질,독성 체액과 기체를 분비하는 점액체,Poison ooze motif,시료 가치
ooze_007,Ooze,점액체,흡수형 점액체,Absorbing Ooze,기능,대상을 감싸 흡수하고 장비를 삼키는 점액체,Gelatinous Cube,회수품 손실
ooze_008,Ooze,점액체,부식성 점액체,Corrosive Ooze,피해 성질,금속·가죽·목재를 빠르게 부식시키는 점액체,Black Pudding,무장 손상
ooze_009,Ooze,점액체,지능형 점액체,Intelligent Ooze,지능,학습·매복·추적 같은 지능 행동을 보이는 점액체,Oblex,Aberration과 병기 가능
ooze_010,Ooze,점액체,군집 점액체,Swarm Ooze,사회성,작은 점액체 다수가 군락처럼 행동하는 유형,Ooze colony motif,광역 대응
ooze_011,Ooze,점액체,시체 소화형 점액체,Carrion-Digesting Ooze,생태,사체와 폐기물을 분해하며 이동하는 점액체,Dungeon ooze,청소부 역할
ooze_012,Ooze,점액체,던전 청소부형 점액체,Dungeon Scavenger Ooze,역할,던전 내부 잔해와 사체를 처리하는 점액체,Gelatinous Cube,던전 생태
ooze_013,Ooze,점액체,흑마석 반응 점액체,Blackstone-Reactive Ooze,상태,흑마석 접촉으로 결정화·변색·공명하는 점액체,Custom,정제·자원 공고
ooze_014,Ooze,점액체,잔향 오염 점액체,Resonance-Tainted Ooze,상태,잔향에 노출되어 정신성·부패성 반응을 보이는 점액체,Custom,룩스테라 전용
ooze_015,Ooze,점액체,기억 흡수 점액체,Memory-Absorbing Ooze,능력,접촉한 대상의 기억·형태·음성을 흉내내는 점액체,Oblex,침투자 식별
ooze_016,Ooze,점액체,체액 모방 점액체,Fluid-Mimic Ooze,행동,피·물·기름·약품처럼 위장하는 점액체,Custom,실험실 공고
plant_001,Plant,식물체,포식 식물체,Carnivorous Plant,생태,동물성 먹이를 유인·포획·소화하는 식물체,Shambling Mound; Assassin Vine,습지/정글
plant_002,Plant,식물체,덩굴형 식물체,Vine Plant,형태,덩굴로 구속·교살·이동 방해를 수행하는 식물체,Vine Blight,구속 위협
plant_003,Plant,식물체,포자형 식물체,Spore Plant,번식,포자를 통해 수면·독·감염을 유발하는 식물체,Myconid; Gas Spore,호흡 주의
plant_004,Plant,식물체,균류형 식물체,Fungal Plant,형태,버섯·균사·균핵으로 이루어진 식물성 존재,Myconid,군락 가능
plant_005,Plant,식물체,나무 수호자형 식물체,Tree Guardian Plant,역할,"나무와 숲, 성역을 수호하는 식물체",Treant,협상 가능
plant_006,Plant,식물체,움직이는 식물체,Mobile Plant,이동,뿌리나 줄기로 걸어다니는 식물체,Awakened Tree,식물/구조물 오인
plant_007,Plant,식물체,독성 식물체,Toxic Plant,피해 성질,독액·가시·포자로 중독을 일으키는 식물체,Poisonous plant motif,해독 시료
plant_008,Plant,식물체,수면·환각 유발 식물체,Dream/Hallucinogenic Plant,정신 현상,향·꽃가루·포자로 수면과 환각을 유발하는 식물체,Sleep pollen motif,괴담 검증
plant_009,Plant,식물체,기생 식물체,Parasitic Plant,생태,숙주에 뿌리내려 생명력과 행동을 빼앗는 식물체,Yellow Musk Creeper motif,포섭 피해
plant_010,Plant,식물체,군락 식물체,Colony Plant,사회성,넓은 군락 전체가 하나의 위협처럼 작동하는 식물체,Fungal colony,지역 봉쇄
plant_011,Plant,식물체,가시 방어형 식물체,Thorn-Defense Plant,형태,가시·뿔·단단한 줄기로 방어하는 식물체,Needle blight,접근 피해
plant_012,Plant,식물체,씨앗 확산형 식물체,Seed-Spreading Plant,번식,씨앗이나 꼬투리로 빠르게 확산하는 식물체,Exploding seed motif,확산 차단
plant_013,Plant,식물체,성역 수호형 식물체,Sanctuary Plant,역할,성역·숲·고대 장소를 지키는 식물체,Treant; awakened plants,Fey/Celestial 병기 가능
plant_014,Plant,식물체,부패지 생장형 식물체,Rotland Plant,서식,시체와 부패한 땅에서 자라는 식물체,Blight,언데드와 결합
plant_015,Plant,식물체,잔향 오염 식물체,Resonance-Tainted Plant,상태,잔향 노출로 검은 변이와 안개 반응을 보이는 식물체,Custom,룩스테라 전용
plant_016,Plant,식물체,안개권 적응 식물체,Fog-Adapted Plant,상태,앙그라 안개 내부에서 생존·변형된 식물체,Custom,안개권 표본
plant_017,Plant,식물체,빛 저항 식물체,Light-Resistant Plant,상태,정화성 빛에 둔감하거나 반응이 역전된 식물체,Custom,3단계 의심
plant_018,Plant,식물체,뿌리망 식물체,Root-Network Plant,생태,지하 뿌리망으로 넓은 지역을 감지·공격하는 식물체,Root network motif,진동 감지
undead_001,Undead,언데드,골격형 언데드,Skeletal Undead,형태,살과 장기가 사라지고 뼈 구조가 움직이는 언데드,Skeleton; Minotaur Skeleton,스켈레톤 포괄
undead_002,Undead,언데드,시체형 언데드,Corpse Undead,형태,부패한 육체가 남아 물리적 압박을 보이는 언데드,Zombie; Ogre Zombie,좀비 포괄
undead_003,Undead,언데드,구울형 언데드,Ghoul Undead,생태,시체와 살점을 먹고 마비·질병성을 동반하는 언데드,Ghoul; Ghast,청소부/포식
undead_004,Undead,언데드,망령형 언데드,Spectral Undead,형태,육체보다 혼·원념·영체성이 중심인 언데드,Specter; Ghost,비물질성
undead_005,Undead,언데드,그림자형 언데드,Shadow Undead,형태,그림자와 생명력 흡수로 움직이는 언데드,Shadow,Fiend와 구분
undead_006,Undead,언데드,원혼형 언데드,Vengeful Spirit Undead,정신 상태,원한·미련·복수심에 묶인 언데드,Revenant; Ghost,해결 조건 가능
undead_007,Undead,언데드,갑주형 언데드,Armored Undead,형태,갑옷과 시신 또는 영혼이 결합한 언데드,Wight; Death Knight,기사형과 중복
undead_008,Undead,언데드,기사형 언데드,Knightly Undead,역할,생전의 기사도·전투 규율이 남은 언데드,Death Knight; Wight,무장 위협
undead_009,Undead,언데드,흡혈형 언데드,Vampiric Undead,생태,피와 생명력을 흡수해 유지되는 언데드,Vampire; Vampire Spawn,사회적 침투
undead_010,Undead,언데드,리치형 언데드,Lich Undead,기원,마법과 영혼 보존 의식으로 불멸화된 언데드,Lich,최상급 위협
undead_011,Undead,언데드,미라형 언데드,Mummified Undead,형태,방부 처리·장례 저주·왕묘와 결합한 언데드,Mummy; Mummy Lord,고대 유적
undead_012,Undead,언데드,죽음 기사형 언데드,Death Knight Undead,역할,강력한 전사와 저주가 결합한 언데드,Death Knight,우두머리
undead_013,Undead,언데드,집단 원혼형 언데드,Collective Spirit Undead,사회성,다수의 혼이 한 현상으로 얽힌 언데드,Ghost swarm motif,대량 사망지
undead_014,Undead,언데드,사령술 피조형 언데드,Necromantic Created Undead,기원,사령술로 제작·조립·명령된 언데드,Skeleton; Zombie,시전자 추적
undead_015,Undead,언데드,저주 결속형 언데드,Curse-Bound Undead,결속,저주나 맹세에 묶여 해방되지 못하는 언데드,Revenant; Mummy,해제 조건
undead_016,Undead,언데드,장소 결박형 언데드,Location-Bound Undead,결속,특정 장소·무덤·성소를 벗어나지 못하는 언데드,Ghost,회수보다 정화
undead_017,Undead,언데드,원한 추적형 언데드,Vengeance-Seeking Undead,행동,특정 대상이나 혈통을 추적하는 언데드,Revenant,도주 불가
undead_018,Undead,언데드,생명력 흡수형 언데드,Life-Draining Undead,피해 성질,접촉이나 시선으로 생명력을 빨아들이는 언데드,Wraith; Wight,사령 피해
undead_019,Undead,언데드,부패 확산형 언데드,Rot-Spreading Undead,피해 성질,부패·질병·시체 오염을 퍼뜨리는 언데드,Zombie plague motif,격리 공고
undead_020,Undead,언데드,고대 왕묘형 언데드,Ancient Tomb Undead,서식,왕묘·고대 무덤·장례 의식과 결합한 언데드,Mummy; Wight,유적 공고
undead_021,Undead,언데드,혼령 병사형 언데드,Spectral Soldier Undead,역할,전쟁터와 군사 기억에 묶인 병사형 언데드,Ghostly soldier,전장 공고
undead_022,Undead,언데드,마법사령형 언데드,Spellcasting Undead,전투 방식,주문 사용 능력을 유지한 언데드,Lich; Wight mage motif,주문 공격
