주사위,지형명,지형 설명,isAngra
213,세계수 뿌리굴,세계수의 뿌리가 지하에 드러난 동굴 지형이다. 신성함과 침식 위협이 공존한다.,
214,순례정거장,순례자들이 쉬어 가는 작은 성소와 숙영지가 있는 지형이다. 안전지대처럼 보이나 단서를 숨기기 좋다.,
215,검문성문,"종교 세력이나 권력 집단이 통제하는 성문형 지형이다. 검문, 압박, 통행 허가 갈등을 강조한다.",
216,성석보관고,빛나는 성석이나 봉인석을 보관하는 시설 지형이다. 신성한 보물과 위험한 진실이 함께 있다.,
217,잔광실,오래된 빛의 힘이 희미하게 남은 실내 지형이다. 치유와 불안정한 폭주를 함께 다룬다.,
218,마령공명지,"마령의 기척이나 기억이 지형에 스며든 장소다. 환청, 환영, 적대적 반응이 일어난다.",
219,앙그라균열,앙그라의 힘이 지면이나 벽을 찢고 새어 나오는 지형이다. 침식 확산의 출발점으로 좋다.,true
220,검은안개 웅덩이,검은 안개가 낮게 고여 빠져나가지 않는 지형이다. 시야 차단과 오염 위험이 중심이다.,
221,뒤틀린 성역,원래는 신성했으나 신앙과 힘의 균형이 무너진 지형이다. 구원과 정화 목표에 적합하다.,
222,어둠 예배당,빛의 신앙을 표방하지만 내부가 어둡게 죽은 예배 공간이다. 위선과 은폐를 드러내기 좋다.,
223,봉인균열실,봉인 장치가 깨지며 내부 힘이 새어 나오는 지형이다. 시간 제한형 결전에 적합하다.,
224,잠든 숲,자연의 힘이 약해져 고요하게 정지한 숲 지형이다. 세계수의 약화나 정령의 침묵과 연결하기 좋다.,
225,거짓신탁소,조작된 신탁이나 기록이 만들어진 장소 지형이다. 진실 폭로와 정치적 후폭풍에 어울린다.,
226,실패한 정화지,정화를 시도했으나 오히려 오염이 퍼진 지형이다. 선의의 실패와 비극을 보여준다.,
227,화형터,이단 처벌이나 정화 의식이 이루어진 공개 지형이다. 신앙의 잔혹한 면을 드러낸다.,
228,성기사 주둔소,성기사나 종교 병력이 머무는 군사·종교 혼합 지형이다. 보호와 감시가 동시에 작동한다.,
229,은신처,박해받은 이들이 숨어 있던 작은 지형이다. 증언과 감정적 단서를 배치하기 좋다.,
230,지하수맥,"마력이나 정령력이 흐르는 지하 물길 지형이다. 치유, 변질, 추적 단서에 적합하다.",
231,달빛고원,"밤마다 달빛이 강하게 머무는 고원 지형이다. 늑대, 예언, 황혼 계열 장면에 좋다.",
232,별빛호수,"수면에 별빛이 비정상적으로 비치는 호수 지형이다. 환상과 신탁, 수중 단서에 적합하다.",
233,열사구,낮 동안 극심한 열기가 축적되는 모래 지형이다. 탈진과 시야 왜곡을 만들기 좋다.,
234,황혼지대,"낮과 밤의 느낌이 동시에 머무는 경계 지형이다. 이클립스, 전환, 선택 장면에 어울린다.",
235,회오리평원,작은 회오리와 먼지 기둥이 반복되는 평야 지형이다. 이동 방해와 혼란을 제공한다.,
236,가뭄지대,"마른 대지가 갈라져 틈이 생긴 지형이다. 식량난, 분쟁, 원소 이상에 적합하다.",
237,젖은 폐허,비와 습기에 잠긴 무너진 건물 지형이다. 우울한 조사와 추적 장면에 좋다.,
238,눈협로,"쌓인 눈이 좁은 통로를 막는 지형이다. 매복과 이동 지연, 눈사태 위험을 만든다.",
239,서리공동,지하나 폐허 안에 서리가 내려앉은 넓은 공간이다. 냉기 몬스터와 정적을 강조한다.,
240,그늘계곡,높은 절벽이나 짙은 지형 때문에 빛이 거의 들지 않는 계곡 지형이다. 은신처와 오래된 비밀에 적합하다.,
